ID,PRC2017,PRC2016,REMARK
353,10843000,10843000,
354,10851100,10851100,
355,10851200,10851200,
356,10851300,10851300,
357,10851410,10851410,
358,10851430,10851430,
359,10851910,10851910,
360,10861010,10861010,
361,10861030,10861030,
362,10861050,10861050,
363,10861060,10861060,
364,10861070,10861070,
365,10891100,10891100,
366,10891230,10891230,
367,10891250,10891250,
368,10891334,10891334,
369,10891339,10891339,
370,10891350,10891350,
371,10891370,10891370,
372,10891400,10891400,
373,10891600,10891600,
374,10891700,10891700,
375,10891910,10891910,
376,10891925,10891925,
377,10891930,10891930,
378,10891935,10891935,
379,10891950,10891950,
380,109010Z0,109010Z0,
381,10911010,10911010,
382,10911033,10911033,
383,10911035,10911035,
384,10911037,10911037,
385,10911039,10911039,
386,10912000,10912000,
387,10921030,10921030,
388,10921060,10921060,
389,109900Z0,109900Z0,
390,11011020,11011020,
391,11011030,11011030,
392,11011040,11011040,
393,11011050,11011050,
394,11011063,11011063,
395,11011065,11011065,
396,11011070,11011070,
397,11011080,11011080,
398,11021130,11021130,
399,11021190,11021190,
400,11021211,11021211,
401,11021215,11021215,
402,11021217,11021217,
403,11021220,11021220,
404,11021231,11021231,
405,11021250,11021250,
406,11031000,11031000,
407,11041000,11041000,
408,11051000,11051000,
409,11051010,11051010,
410,11052000,11052000,
411,11061030,11061030,
412,11061050,11061050,
413,11071130,11071130,
414,11071150,11071150,
415,11071930,11071930,
416,11071950,11071950,
417,11071970,11071970,
418,12001130,12001130,
419,12001150,12001150,
420,12001170,12001170,
421,12001200,12001200,
422,12001930,12001930,
423,12001990,12001990,
424,13101000,13101000,
425,13102100,13102100,
426,13102200,13102200,
427,13102300,13102300,
428,13102400,13102400,
429,13102500,13102500,
430,13102600,13102600,
431,13102900,13102900,
432,13103100,13103100,
433,13103200,13103200,
434,13104010,13104010,
435,13104030,13104030,
436,13104050,13104050,
437,13105010,13105010,
438,13105030,13105030,
439,13105050,13105050,
440,13106132,13106132,
441,13106133,13106133,
442,13106135,13106135,
443,13106152,13106152,
444,13106153,13106153,
445,13106155,13106155,
446,13106160,13106160,
447,131061Z1,131061Z1,
448,131061Z2,131061Z2,
449,13106200,13106200,
450,13107110,13107110,
451,13107120,13107120,
452,13107200,13107200,
453,13108110,13108110,
454,13108130,13108130,
455,13108150,13108150,
456,13108210,13108210,
457,13108250,13108250,
458,13108320,13108320,
459,13108333,13108333,
460,13108336,13108336,
461,13108340,13108340,
462,13108380,13108380,
463,13108390,13108390,
464,131083Z0,131083Z0,
465,13108410,13108410,
466,13108430,13108430,
467,13108510,13108510,
468,13108550,13108550,
469,13201100,13201100,
470,13201230,13201230,
471,13201260,13201260,
472,13201330,13201330,
473,13201360,13201360,
474,13201400,13201400,
475,13201900,13201900,
476,13202014,13202014,
477,13202017,13202017,
478,13202019,13202019,
479,13202020,13202020,
480,13202031,13202031,
481,13202042,13202042,
482,13202044,13202044,
483,13202049,13202049,
484,13202060,13202060,
485,13202072,13202072,
486,13202074,13202074,
487,13202079,13202079,
488,132020Z1,132020Z1,
489,132020Z2,132020Z2,
490,132020Z3,132020Z3,
491,13203130,13203130,
492,13203150,13203150,
493,13203170,13203170,
494,13203210,13203210,
495,13203220,13203220,
496,13203230,13203230,
497,13203240,13203240,
498,13203250,13203250,
499,13203290,13203290,
500,13203330,13203330,
501,13203350,13203350,
502,13204100,13204100,
503,13204200,13204200,
504,13204300,13204300,
505,13204400,13204400,
506,13204500,13204500,
507,13204600,13204600,
508,13301110,13301110,
509,13301121,13301121,
510,13301122,13301122,
511,13301123,13301123,
512,13301124,13301124,
513,13301125,13301125,
514,13301126,13301126,
515,13301127,13301127,
516,13301128,13301128,
517,13301210,13301210,
518,13301220,13301220,
519,13301230,13301230,
520,13301240,13301240,
521,13301250,13301250,
522,13301260,13301260,
523,13301270,13301270,
524,13301280,13301280,
525,13301290,13301290,
526,13301310,13301310,
527,13301320,13301320,
528,13301330,13301330,
529,13301340,13301340,
530,13301350,13301350,
531,13301360,13301360,
532,13301370,13301370,
533,13301380,13301380,
534,13301390,13301390,
535,13301910,13301910,
536,13301920,13301920,
537,13301930,13301930,
538,13301940,13301940,
539,13301950,13301950,
540,13301960,13301960,
541,13301970,13301970,
542,13301980,13301980,
543,13301990,13301990,
544,13301995,13301995,
545,13911100,13911100,
546,13911910,13911910,
547,13911920,13911920,
548,13921130,13921130,
549,13921150,13921150,
550,13921190,13921190,
551,13921230,13921230,
552,13921253,13921253,
553,13921255,13921255,
554,13921259,13921259,
555,13921270,13921270,
556,13921330,13921330,
557,13921353,13921353,
558,13921355,13921355,
559,13921359,13921359,
560,13921370,13921370,
561,13921430,13921430,
562,13921450,13921450,
563,13921470,13921470,
564,13921530,13921530,
565,13921550,13921550,
566,13921570,13921570,
567,13921620,13921620,
568,13921640,13921640,
569,13921660,13921660,
570,13921680,13921680,
571,13922130,13922130,
572,13922150,13922150,
573,13922170,13922170,
574,13922190,13922190,
575,13922210,13922210,
576,13922230,13922230,
577,13922250,13922250,
578,13922270,13922270,
579,13922300,13922300,
580,13922430,13922430,
581,13922493,13922493,
582,13922499,13922499,
583,13922953,13922953,
584,13922957,13922957,
585,13922993,13922993,
586,13922997,13922997,
587,13922999,13922999,
588,13931100,13931100,
589,13931200,13931200,
590,13931300,13931300,
591,13931930,13931930,
592,13931990,13931990,
593,13941130,13941130,
594,13941153,13941153,
595,13941155,13941155,
596,13941160,13941160,
597,13941170,13941170,
598,13941190,13941190,
599,13941233,13941233,
600,13941235,13941235,
601,13941253,13941253,
602,13941255,13941255,
603,13941259,13941259,
604,13941280,13941280,
605,13951010,13951010,
606,13951020,13951020,
607,13951030,13951030,
608,13951050,13951050,
609,13951070,13951070,
610,13961100,13961100,
611,13961200,13961200,
612,13961300,13961300,
613,13961400,13961400,
614,13961500,13961500,
615,13961620,13961620,
616,13961650,13961650,
617,13961680,13961680,
618,13961730,13961730,
619,13961750,13961750,
620,13961770,13961770,
621,13991130,13991130,
622,13991150,13991150,
623,13991170,13991170,
624,13991230,13991230,
625,13991250,13991250,
626,13991270,13991270,
627,13991300,13991300,
628,13991400,13991400,
629,13991500,13991500,
630,13991600,13991600,
631,13991900,13991900,
632,14111000,14111000,
633,14121120,14121120,
634,14121130,14121130,
635,14121240,14121240,
636,14121250,14121250,
637,14122120,14122120,
638,14122130,14122130,
639,14122240,14122240,
640,14122250,14122250,
641,14123013,14123013,
642,14123023,14123023,
643,14131110,14131110,
644,14131120,14131120,
645,14131230,14131230,
646,14131260,14131260,
647,14131270,14131270,
648,14131310,14131310,
649,14131320,14131320,
650,14131430,14131430,
651,14131460,14131460,
652,14131470,14131470,
653,14131480,14131480,
654,14131490,14131490,
655,14132115,14132115,
656,14132130,14132130,
657,14132200,14132200,
658,14132300,14132300,
659,14132442,14132442,
660,14132444,14132444,
661,14132445,14132445,
662,14132448,14132448,
663,14132449,14132449,
664,14132455,14132455,
665,14132460,14132460,
666,14133115,14133115,
667,14133130,14133130,
668,14133200,14133200,
669,14133330,14133330,
670,14133470,14133470,
671,14133480,14133480,
672,14133542,14133542,
673,14133548,14133548,
674,14133549,14133549,
675,14133551,14133551,
676,14133561,14133561,
677,14133563,14133563,
678,14133565,14133565,
679,14133569,14133569,
680,14141100,14141100,
681,14141220,14141220,
682,14141230,14141230,
683,14141240,14141240,
684,14141310,14141310,
685,14141420,14141420,
686,14141430,14141430,
687,14141440,14141440,
688,14141450,14141450,
689,14142100,14142100,
690,14142220,14142220,
691,14142230,14142230,
692,14142240,14142240,
693,14142300,14142300,
694,14142430,14142430,
695,14142450,14142450,
696,14142460,14142460,
697,14142480,14142480,
698,14142489,14142489,
699,14142530,14142530,
700,14142550,14142550,
701,14142570,14142570,
702,14143000,14143000,
703,14191100,14191100,
704,14191210,14191210,
705,14191230,14191230,
706,14191240,14191240,
707,14191250,14191250,
708,14191290,14191290,
709,14191300,14191300,
710,14191930,14191930,
711,14191960,14191960,
712,14192150,14192150,
713,14192210,14192210,
714,14192220,14192220,
715,14192230,14192230,
716,14192240,14192240,
717,14192250,14192250,
718,14192310,14192310,
719,14192333,14192333,
720,14192338,14192338,
721,14192353,14192353,
722,14192358,14192358,
723,14192370,14192370,
724,14192396,14192396,
725,14193175,14193175,
726,14193180,14193180,
727,14193190,14193190,
728,14193200,14193200,
729,14194130,14194130,
730,14194150,14194150,
731,14194230,14194230,
732,14194250,14194250,
733,14194270,14194270,
734,14194300,14194300,
735,14201030,14201030,
736,14201090,14201090,
737,14311033,14311033,
738,14311035,14311035,
739,14311037,14311037,
740,14311050,14311050,
741,14311090,14311090,
742,14391031,14391031,
743,14391032,14391032,
744,14391033,14391033,
745,14391053,14391053,
746,14391055,14391055,
747,14391061,14391061,
748,14391062,14391062,
749,14391071,14391071,
750,14391072,14391072,
751,14391090,14391090,
752,15111030,15111030,
753,15111050,15111050,
754,15112100,15112100,
755,15112200,15112200,
756,15113100,15113100,
757,15113200,15113200,
758,15113300,15113300,
759,15114130,15114130,
760,15114150,15114150,
761,15114230,15114230,
762,15114250,15114250,
763,15114330,15114330,
764,15114350,15114350,
765,15115100,15115100,
766,15115200,15115200,
767,15121110,15121110,
768,15121210,15121210,
769,15121220,15121220,
770,15121230,15121230,
771,15121250,15121250,
772,15121270,15121270,
773,15121300,15121300,
774,15121930,15121930,
775,15121960,15121960,
776,15201100,15201100,
777,15201210,15201210,
778,15201231,15201231,
779,15201237,15201237,
780,15201330,15201330,
781,15201351,15201351,
782,15201352,15201352,
783,15201353,15201353,
784,15201361,15201361,
