ID,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
58,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20443,"Meat; of sheep (including lamb), boneless cuts, frozen",8,Weight in kilograms,17876429,nan,,,17876429.0,,91353699.0,,,0
59,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20450,"Meat; of goats, fresh, chilled or frozen",8,Weight in kilograms,289846,nan,,,289846.0,,1412893.0,,,0
61,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20610,"Offal, edible; of bovine animals, fresh or chilled",8,Weight in kilograms,13438096,nan,,,13438096.0,,19474187.0,,,0
62,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20621,"Offal, edible; of bovine animals, tongues, frozen",8,Weight in kilograms,428690,nan,,,428690.0,,726965.0,,,0
63,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20622,"Offal, edible; of bovine animals, livers, frozen",8,Weight in kilograms,402303,nan,,,402303.0,,999078.0,,,0
64,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20629,"Offal, edible; of bovine animals, (other than tongues and livers), frozen",8,Weight in kilograms,4634907,nan,,,4634907.0,,7801246.0,,,0
65,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20630,"Offal, edible; of swine, fresh or chilled",8,Weight in kilograms,2519636,nan,,,2519636.0,,5593610.0,,,0
66,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20641,"Offal, edible; of swine, livers, frozen",8,Weight in kilograms,391360,nan,,,391360.0,,159593.0,,,0
67,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20649,"Offal, edible; of swine, (other than livers), frozen",8,Weight in kilograms,12560441,nan,,,12560441.0,,15095955.0,,,0
68,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20680,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled",8,Weight in kilograms,1725142,nan,,,1725142.0,,2289845.0,,,0
69,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20690,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen",8,Weight in kilograms,7028047,nan,,,7028047.0,,16706604.0,,,0
71,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20711,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",8,Weight in kilograms,45621950,nan,,,45621950.0,,102480975.0,,,0
72,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20712,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",8,Weight in kilograms,19065370,nan,,,19065370.0,,59118316.0,,,0
73,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20713,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",8,Weight in kilograms,208578670,nan,,,208578670.0,,748622280.0,,,6
74,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",8,Weight in kilograms,156482736,nan,,,156482736.0,,588476169.0,,,0
75,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20724,"Meat and edible offal; of turkeys, not cut in pieces, fresh or chilled",8,Weight in kilograms,1705290,nan,,,1705290.0,,7363837.0,,,0
76,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20725,"Meat and edible offal; of turkeys, not cut in pieces, frozen",8,Weight in kilograms,578918,nan,,,578918.0,,2643035.0,,,0
77,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20726,"Meat and edible offal; of turkeys, cuts and offal, fresh or chilled",8,Weight in kilograms,27784330,nan,,,27784330.0,,105656080.0,,,0
78,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20727,"Meat and edible offal; of turkeys, cuts and offal, frozen",8,Weight in kilograms,15034311,nan,,,15034311.0,,43938055.0,,,0
79,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20741,"Meat and edible offal; of ducks, not cut in pieces, fresh or chilled",8,Weight in kilograms,1055325,nan,,,1055325.0,,3954988.0,,,0
